Dysdera,Latitude, Longitude,Artificial Light
1,28.91952,-13.7637,334
2,29.152247,-13.502376,257
3,29.1408,-13.4832,151
4,29.05328,-13.493328,183
5,29.399593,-13.52657,4.13
6,29.262813,-13.48327,19.8
7,29.29886,-13.5353,11.2
8,29.40335,-13.4887,4.01
9,29.18436,-13.50131,69.3
10,28.881746,-13.776582,146
11,29.15441,-13.51944,112
12,29.211204,-13.484156,52.9
13,29.2782,-13.50739,17.7
14,28.980257,-13.638351,456
15,29.300601,-13.538081,11.2
16,29.24206,-13.51629,56.2
17,29.25378,-13.504026,37.1
18,29.39392,-13.50194,4.34
19,29.05185,-13.66985,221
20,29.40982,-13.513269,3.82
21,28.93287,-13.77366,153
22,29.01283,-13.56995,443
23,29.130724,-13.516903,105
24,29.29886,-13.5353,11.2
25,29.232511,-13.505077,131
26,29.18436,-13.50131,69.3
27,28.922303,-13.765028,150
28,29.184361,-13.501313,69.3
29,29.256073,-13.48898,25.1
30,29.399594,-13.526578,4.13
31,29.110621,-13.551666,121
32,29.39959,-13.52657,4.13
33,29.211204,-13.484156,52.9
34,28.980257,-13.638351,456
35,29.300601,-13.538081,11.2
36,29.24206,-13.51629,56.2
37,29.39392,-13.50194,4.34
38,29.05185,-13.66985,221
39,29.231029,-13.508988,94.2
40,29.07973,-13.715702,90.9
41,28.93287,-13.77366,153
42,29.202288,-13.461592,56.8
43,29.152247,-13.502376,257
44,29.01283,-13.56995,443
45,29.203408,-13.424308,30.2
46,29.194456,-13.42788,35.8
47,28.838823,-13.787028,155
48,29.064238,-13.765097,49
49,29.194448,-13.505116,52.8
50,29.404184,-13.490834,4.01
51,29.07973,-13.715702,90.9
52,29.062068,-13.774604,47.6
53,28.918115,-13.698886,399
54,29.104336,-13.455999,96.4
55,28.91952,-13.7637,144
56,29.1408,-13.4832,151
57,29.130724,-13.516903,105
58,29.39392,-13.50194,4.34
59,29.29886,-13.5353,11.2
60,29.211204,-13.484156,52.9
61,28.922303,-13.765028,150
62,29.184361,-13.501313,69.3
63,29.15441,-13.51944,112
64,29.39959,-13.52657,4.13
65,29.211204,-13.484156,52.9
66,28.980257,-13.638351,456
67,29.05185,-13.66985,221
68,28.93287,-13.77366,153
69,29.152247,-13.502376,257
70,29.135308,-13.507113,132
71,29.130724,-13.516903,105
72,29.184361,-13.501313,69.3
